descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,origen,es_aumentada,texto_normalizado
pago de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,catalogo_controlado,False,pago de impuestos
pg de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,catalogo_controlado,True,pg de impuestos
cargo pago de impuestos,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,catalogo_controlado,True,cargo pago de impuestos
pago de impuestos mensual,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,catalogo_controlado,True,pago de impuestos mensual
pago de impuestos 2025,pago de impuestos,Deudas,Impuestos,train,bd0b79399878,catalogo_controlado,True,pago de impuestos 2025
pago de crédito,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,catalogo_controlado,False,pago de credito
pg de cred,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,catalogo_controlado,True,pg de cred
cargo pago de crédito,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,catalogo_controlado,True,cargo pago de credito
pago de crédito mensual,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,catalogo_controlado,True,pago de credito mensual
pago de crédito 2025,pago de crédito,Deudas,Pago de préstamo,train,c1ab346a0b36,catalogo_controlado,True,pago de credito 2025
cargo abono a tdc,abono a tdc,Deudas,Pago de tarjeta,train,f231459988eb,catalogo_controlado,True,cargo abono a tdc
abono a tdc mensual,abono a tdc,Deudas,Pago de tarjeta,train,f231459988eb,catalogo_controlado,True,abono a tdc mensual
abono a tdc 2025,abono a tdc,Deudas,Pago de tarjeta,train,f231459988eb,catalogo_controlado,True,abono a tdc 2025
abono a crédito coche,abono a crédito coche,Deudas,Pago de préstamo,train,f5a4934a3c20,catalogo_controlado,False,abono a credito coche
abono a cred coche,abono a crédito coche,Deudas,Pago de préstamo,train,f5a4934a3c20,catalogo_controlado,True,abono a cred coche
cargo abono a crédito coche,abono a crédito coche,Deudas,Pago de préstamo,train,f5a4934a3c20,catalogo_controlado,True,cargo abono a credito coche
abono a crédito coche mensual,abono a crédito coche,Deudas,Pago de préstamo,train,f5a4934a3c20,catalogo_controlado,True,abono a credito coche mensual
abono a crédito coche 2025,abono a crédito coche,Deudas,Pago de préstamo,train,f5a4934a3c20,catalogo_controlado,True,abono a credito coche 2025
colegiatura universidad,colegiatura universidad,Educación,Universidad,train,16882272754b,catalogo_controlado,False,colegiatura universidad
colegiatura uni,colegiatura universidad,Educación,Universidad,train,16882272754b,catalogo_controlado,True,colegiatura uni
cargo colegiatura universidad,colegiatura universidad,Educación,Universidad,train,16882272754b,catalogo_controlado,True,cargo colegiatura universidad
colegiatura universidad mensual,colegiatura universidad,Educación,Universidad,train,16882272754b,catalogo_controlado,True,colegiatura universidad mensual
colegiatura universidad 2025,colegiatura universidad,Educación,Universidad,train,16882272754b,catalogo_controlado,True,colegiatura universidad 2025
material para clase,material para clase,Educación,Material escolar,train,54615761c37a,catalogo_controlado,False,material para clase
cargo material para clase,material para clase,Educación,Material escolar,train,54615761c37a,catalogo_controlado,True,cargo material para clase
material para clase mensual,material para clase,Educación,Material escolar,train,54615761c37a,catalogo_controlado,True,material para clase mensual
material para clase 2025,material para clase,Educación,Material escolar,train,54615761c37a,catalogo_controlado,True,material para clase 2025
mateial para clase,material para clase,Educación,Material escolar,train,54615761c37a,catalogo_controlado,True,mateial para clase
Material escolar,Material escolar,Educación,Material escolar,train,71579727ade3,transactions,False,material escolar
cargo material escolar,Material escolar,Educación,Material escolar,train,71579727ade3,transactions,True,cargo material escolar
material escolar mensual,Material escolar,Educación,Material escolar,train,71579727ade3,transactions,True,material escolar mensual
material escolar 2025,Material escolar,Educación,Material escolar,train,71579727ade3,transactions,True,material escolar 2025
materil escolar,Material escolar,Educación,Material escolar,train,71579727ade3,transactions,True,materil escolar
curso online,curso online,Educación,Cursos,train,756fcb60e046,catalogo_controlado,False,curso online
cargo curso online,curso online,Educación,Cursos,train,756fcb60e046,catalogo_controlado,True,cargo curso online
curso online mensual,curso online,Educación,Cursos,train,756fcb60e046,catalogo_controlado,True,curso online mensual
curso online 2025,curso online,Educación,Cursos,train,756fcb60e046,catalogo_controlado,True,curso online 2025
curso oline,curso online,Educación,Cursos,train,756fcb60e046,catalogo_controlado,True,curso oline
Curso en línea,Curso en línea,Educación,Cursos,train,88e04d09dd38,transactions,False,curso en linea
cargo curso en línea,Curso en línea,Educación,Cursos,train,88e04d09dd38,transactions,True,cargo curso en linea
curso en línea mensual,Curso en línea,Educación,Cursos,train,88e04d09dd38,transactions,True,curso en linea mensual
curso en línea 2025,Curso en línea,Educación,Cursos,train,88e04d09dd38,transactions,True,curso en linea 2025
Universidad,Universidad,Educación,Universidad,train,b5e0384e8762,transactions,False,universidad
uni,Universidad,Educación,Universidad,train,b5e0384e8762,transactions,True,uni
cargo universidad,Universidad,Educación,Universidad,train,b5e0384e8762,transactions,True,cargo universidad
universidad mensual,Universidad,Educación,Universidad,train,b5e0384e8762,transactions,True,universidad mensual
universidad 2025,Universidad,Educación,Universidad,train,b5e0384e8762,transactions,True,universidad 2025
Curso,Curso,Educación,Cursos,train,c62869ade448,transactions,False,curso
cargo curso,Curso,Educación,Cursos,train,c62869ade448,transactions,True,cargo curso
curso mensual,Curso,Educación,Cursos,train,c62869ade448,transactions,True,curso mensual
curso 2025,Curso,Educación,Cursos,train,c62869ade448,transactions,True,curso 2025
Colegiatura,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,transactions,False,colegiatura
cargo colegiatura,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,transactions,True,cargo colegiatura
colegiatura mensual,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,transactions,True,colegiatura mensual
colegiatura 2025,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,transactions,True,colegiatura 2025
coegiatura,Colegiatura,Educación,Universidad,train,f127c9a1bc4d,transactions,True,coegiatura
museo fin de semana,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,catalogo_controlado,False,museo fin de semana
cargo museo fin de semana,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,catalogo_controlado,True,cargo museo fin de semana
museo fin de semana mensual,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,catalogo_controlado,True,museo fin de semana mensual
museo fin de semana 2025,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,catalogo_controlado,True,museo fin de semana 2025
museo fin de semaa,museo fin de semana,Entretenimiento,Museos,train,2c4942d27422,catalogo_controlado,True,museo fin de semaa
Servicio de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,transactions,False,servicio de streaming
serv de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,transactions,True,serv de streaming
cargo servicio de streaming,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,transactions,True,cargo servicio de streaming
servicio de streaming mensual,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,transactions,True,servicio de streaming mensual
servicio de streaming 2025,Servicio de streaming,Entretenimiento,Suscripciones,train,448e80bde166,transactions,True,servicio de streaming 2025
entrada al cine,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,catalogo_controlado,False,entrada al cine
cargo entrada al cine,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,catalogo_controlado,True,cargo entrada al cine
entrada al cine mensual,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,catalogo_controlado,True,entrada al cine mensual
entrada al cine 2025,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,catalogo_controlado,True,entrada al cine 2025
entraa al cine,entrada al cine,Entretenimiento,Cine,train,456cb7dad6d4,catalogo_controlado,True,entraa al cine
Actividad deportiva,Actividad deportiva,Entretenimiento,Deportes,train,5656bb34baeb,transactions,False,actividad deportiva
cargo actividad deportiva,Actividad deportiva,Entretenimiento,Deportes,train,5656bb34baeb,transactions,True,cargo actividad deportiva
actividad deportiva mensual,Actividad deportiva,Entretenimiento,Deportes,train,5656bb34baeb,transactions,True,actividad deportiva mensual
actividad deportiva 2025,Actividad deportiva,Entretenimiento,Deportes,train,5656bb34baeb,transactions,True,actividad deportiva 2025
actividad deprtiva,Actividad deportiva,Entretenimiento,Deportes,train,5656bb34baeb,transactions,True,actividad deprtiva
boletos de concierto,boletos de concierto,Entretenimiento,Conciertos,train,694aff358e20,catalogo_controlado,False,boletos de concierto
cargo boletos de concierto,boletos de concierto,Entretenimiento,Conciertos,train,694aff358e20,catalogo_controlado,True,cargo boletos de concierto
boletos de concierto mensual,boletos de concierto,Entretenimiento,Conciertos,train,694aff358e20,catalogo_controlado,True,boletos de concierto mensual
boletos de concierto 2025,boletos de concierto,Entretenimiento,Conciertos,train,694aff358e20,catalogo_controlado,True,boletos de concierto 2025
boltos de concierto,boletos de concierto,Entretenimiento,Conciertos,train,694aff358e20,catalogo_controlado,True,boltos de concierto
Concierto,Concierto,Entretenimiento,Conciertos,train,86191f74decd,transactions,False,concierto
cargo concierto,Concierto,Entretenimiento,Conciertos,train,86191f74decd,transactions,True,cargo concierto
concierto mensual,Concierto,Entretenimiento,Conciertos,train,86191f74decd,transactions,True,concierto mensual
concierto 2025,Concierto,Entretenimiento,Conciertos,train,86191f74decd,transactions,True,concierto 2025
concerto,Concierto,Entretenimiento,Conciertos,train,86191f74decd,transactions,True,concerto
inscripción gym,inscripción gym,Entretenimiento,Deportes,train,870741fc2947,catalogo_controlado,False,inscripcion gym
cargo inscripción gym,inscripción gym,Entretenimiento,Deportes,train,870741fc2947,catalogo_controlado,True,cargo inscripcion gym
inscripción gym mensual,inscripción gym,Entretenimiento,Deportes,train,870741fc2947,catalogo_controlado,True,inscripcion gym mensual
inscripción gym 2025,inscripción gym,Entretenimiento,Deportes,train,870741fc2947,catalogo_controlado,True,inscripcion gym 2025
iscripción gym,inscripción gym,Entretenimiento,Deportes,train,870741fc2947,catalogo_controlado,True,iscripcion gym
Cine,Cine,Entretenimiento,Cine,train,acacf2d4765c,transactions,False,cine
cargo cine,Cine,Entretenimiento,Cine,train,acacf2d4765c,transactions,True,cargo cine
cine mensual,Cine,Entretenimiento,Cine,train,acacf2d4765c,transactions,True,cine mensual
cine 2025,Cine,Entretenimiento,Cine,train,acacf2d4765c,transactions,True,cine 2025
compra de videojuego,compra de videojuego,Entretenimiento,Videojuegos,train,d83b59cf4def,catalogo_controlado,False,compra de videojuego
comp de videojuego,compra de videojuego,Entretenimiento,Videojuegos,train,d83b59cf4def,catalogo_controlado,True,comp de videojuego
cargo compra de videojuego,compra de videojuego,Entretenimiento,Videojuegos,train,d83b59cf4def,catalogo_controlado,True,cargo compra de videojuego
compra de videojuego mensual,compra de videojuego,Entretenimiento,Videojuegos,train,d83b59cf4def,catalogo_controlado,True,compra de videojuego mensual
compra de videojuego 2025,compra de videojuego,Entretenimiento,Videojuegos,train,d83b59cf4def,catalogo_controlado,True,compra de videojuego 2025
Actividad recreativa,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,transactions,False,actividad recreativa
cargo actividad recreativa,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,transactions,True,cargo actividad recreativa
actividad recreativa mensual,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,transactions,True,actividad recreativa mensual
actividad recreativa 2025,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,transactions,True,actividad recreativa 2025
actividd recreativa,Actividad recreativa,Entretenimiento,Extras,train,ddb818573ae7,transactions,True,actividd recreativa
Suscripción,Suscripción,Entretenimiento,Suscripciones,train,ded72e07cebb,transactions,False,suscripcion
cargo suscripción,Suscripción,Entretenimiento,Suscripciones,train,ded72e07cebb,transactions,True,cargo suscripcion
suscripción mensual,Suscripción,Entretenimiento,Suscripciones,train,ded72e07cebb,transactions,True,suscripcion mensual
suscripción 2025,Suscripción,Entretenimiento,Suscripciones,train,ded72e07cebb,transactions,True,suscripcion 2025
sucripción,Suscripción,Entretenimiento,Suscripciones,train,ded72e07cebb,transactions,True,sucripcion
netflix mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,catalogo_controlado,False,netflix mensual
netflix mens,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,catalogo_controlado,True,netflix mens
cargo netflix mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,catalogo_controlado,True,cargo netflix mensual
netflix mensual mensual,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,catalogo_controlado,True,netflix mensual mensual
netflix mensual 2025,netflix mensual,Entretenimiento,Suscripciones,train,e01a3a53c038,catalogo_controlado,True,netflix mensual 2025
Entretenimiento,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,transactions,False,entretenimiento
cargo entretenimiento,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,transactions,True,cargo entretenimiento
entretenimiento mensual,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,transactions,True,entretenimiento mensual
entretenimiento 2025,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,transactions,True,entretenimiento 2025
entreteniminto,Entretenimiento,Entretenimiento,Extras,train,e59d41097413,transactions,True,entreteniminto
Inversión,Inversión,Finanzas,Inversiones,train,0491351a0e43,transactions,False,inversion
inv,Inversión,Finanzas,Inversiones,train,0491351a0e43,transactions,True,inv
cargo inversión,Inversión,Finanzas,Inversiones,train,0491351a0e43,transactions,True,cargo inversion
inversión 2025,Inversión,Finanzas,Inversiones,train,0491351a0e43,transactions,True,inversion 2025
Aportación a inversión,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,transactions,False,aportacion a inversion
aportación a inv,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,transactions,True,aportacion a inv
cargo aportación a inversión,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,transactions,True,cargo aportacion a inversion
aportación a inversión mensual,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,transactions,True,aportacion a inversion mensual
aportación a inversión 2025,Aportación a inversión,Finanzas,Inversiones,train,256dab0d2859,transactions,True,aportacion a inversion 2025
inversión en cetes,inversión en cetes,Finanzas,Inversiones,train,70ef0c7a4bf6,catalogo_controlado,False,inversion en cetes
inv en cetes,inversión en cetes,Finanzas,Inversiones,train,70ef0c7a4bf6,catalogo_controlado,True,inv en cetes
cargo inversión en cetes,inversión en cetes,Finanzas,Inversiones,train,70ef0c7a4bf6,catalogo_controlado,True,cargo inversion en cetes
inversión en cetes mensual,inversión en cetes,Finanzas,Inversiones,train,70ef0c7a4bf6,catalogo_controlado,True,inversion en cetes mensual
inversión en cetes 2025,inversión en cetes,Finanzas,Inversiones,train,70ef0c7a4bf6,catalogo_controlado,True,inversion en cetes 2025
fondo de emergencia,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,catalogo_controlado,False,fondo de emergencia
cargo fondo de emergencia,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,catalogo_controlado,True,cargo fondo de emergencia
fondo de emergencia mensual,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,catalogo_controlado,True,fondo de emergencia mensual
fondo de emergencia 2025,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,catalogo_controlado,True,fondo de emergencia 2025
fondo de eergencia,fondo de emergencia,Finanzas,Ahorro,train,a15a7760bd9f,catalogo_controlado,True,fondo de eergencia
ahorro quincenal,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,catalogo_controlado,False,ahorro quincenal
cargo ahorro quincenal,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,catalogo_controlado,True,cargo ahorro quincenal
ahorro quincenal mensual,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,catalogo_controlado,True,ahorro quincenal mensual
ahorro quincenal 2025,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,catalogo_controlado,True,ahorro quincenal 2025
ahorro quincenl,ahorro quincenal,Finanzas,Ahorro,train,effbcabd5736,catalogo_controlado,True,ahorro quincenl
Ahorro,Ahorro,Finanzas,Ahorro,train,f07198a554b1,transactions,False,ahorro
cargo ahorro,Ahorro,Finanzas,Ahorro,train,f07198a554b1,transactions,True,cargo ahorro
ahorro mensual,Ahorro,Finanzas,Ahorro,train,f07198a554b1,transactions,True,ahorro mensual
ahorro 2025,Ahorro,Finanzas,Ahorro,train,f07198a554b1,transactions,True,ahorro 2025
ahoro,Ahorro,Finanzas,Ahorro,train,f07198a554b1,transactions,True,ahoro
compra de fondo de inversión,compra de fondo de inversión,Finanzas,Inversiones,train,f2b75cd99d3f,catalogo_controlado,False,compra de fondo de inversion
comp de fondo de inv,compra de fondo de inversión,Finanzas,Inversiones,train,f2b75cd99d3f,catalogo_controlado,True,comp de fondo de inv
cargo compra de fondo de inversión,compra de fondo de inversión,Finanzas,Inversiones,train,f2b75cd99d3f,catalogo_controlado,True,cargo compra de fondo de inversion
compra de fondo de inversión mensual,compra de fondo de inversión,Finanzas,Inversiones,train,f2b75cd99d3f,catalogo_controlado,True,compra de fondo de inversion mensual
compra de fondo de inversión 2025,compra de fondo de inversión,Finanzas,Inversiones,train,f2b75cd99d3f,catalogo_controlado,True,compra de fondo de inversion 2025
Frituras,Frituras,Otros,Frituras,train,15b02f832fbe,transactions,False,frituras
cargo frituras,Frituras,Otros,Frituras,train,15b02f832fbe,transactions,True,cargo frituras
frituras mensual,Frituras,Otros,Frituras,train,15b02f832fbe,transactions,True,frituras mensual
frituras 2025,Frituras,Otros,Frituras,train,15b02f832fbe,transactions,True,frituras 2025
frituas,Frituras,Otros,Frituras,train,15b02f832fbe,transactions,True,frituas
Donación,Donación,Otros,Donaciones,train,1e746161db90,transactions,False,donacion
cargo donación,Donación,Otros,Donaciones,train,1e746161db90,transactions,True,cargo donacion
donación mensual,Donación,Otros,Donaciones,train,1e746161db90,transactions,True,donacion mensual
donación 2025,Donación,Otros,Donaciones,train,1e746161db90,transactions,True,donacion 2025
donacin,Donación,Otros,Donaciones,train,1e746161db90,transactions,True,donacin
pago varios,pago varios,Otros,Otros,train,67a821ebbb13,catalogo_controlado,False,pago varios
pg varios,pago varios,Otros,Otros,train,67a821ebbb13,catalogo_controlado,True,pg varios
cargo pago varios,pago varios,Otros,Otros,train,67a821ebbb13,catalogo_controlado,True,cargo pago varios
pago varios mensual,pago varios,Otros,Otros,train,67a821ebbb13,catalogo_controlado,True,pago varios mensual
pago varios 2025,pago varios,Otros,Otros,train,67a821ebbb13,catalogo_controlado,True,pago varios 2025
Gasto general,Gasto general,Otros,Otros,train,b43c5666a750,transactions,False,gasto general
cargo gasto general,Gasto general,Otros,Otros,train,b43c5666a750,transactions,True,cargo gasto general
gasto general mensual,Gasto general,Otros,Otros,train,b43c5666a750,transactions,True,gasto general mensual
gasto general 2025,Gasto general,Otros,Otros,train,b43c5666a750,transactions,True,gasto general 2025
gasto gneral,Gasto general,Otros,Otros,train,b43c5666a750,transactions,True,gasto gneral
Estacionamiento,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,transactions,False,estacionamiento
estac,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,transactions,True,estac
cargo estacionamiento,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,transactions,True,cargo estacionamiento
estacionamiento mensual,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,transactions,True,estacionamiento mensual
estacionamiento 2025,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,transactions,True,estacionamiento 2025
Tintorería,Tintorería,Otros,Tintorería,train,bca82f4aa39a,transactions,False,tintoreria
cargo tintorería,Tintorería,Otros,Tintorería,train,bca82f4aa39a,transactions,True,cargo tintoreria
tintorería mensual,Tintorería,Otros,Tintorería,train,bca82f4aa39a,transactions,True,tintoreria mensual
tintorería 2025,Tintorería,Otros,Tintorería,train,bca82f4aa39a,transactions,True,tintoreria 2025
tntorería,Tintorería,Otros,Tintorería,train,bca82f4aa39a,transactions,True,tntoreria
Lavandería,Lavandería,Otros,Lavandería,train,c04be1f1b44e,transactions,False,lavanderia
cargo lavandería,Lavandería,Otros,Lavandería,train,c04be1f1b44e,transactions,True,cargo lavanderia
lavandería mensual,Lavandería,Otros,Lavandería,train,c04be1f1b44e,transactions,True,lavanderia mensual
lavandería 2025,Lavandería,Otros,Lavandería,train,c04be1f1b44e,transactions,True,lavanderia 2025
lavndería,Lavandería,Otros,Lavandería,train,c04be1f1b44e,transactions,True,lavnderia
estacionamiento de plaza,estacionamiento de plaza,Otros,Estacionamiento,train,c8a7461c2147,catalogo_controlado,False,estacionamiento de plaza
estac de plaza,estacionamiento de plaza,Otros,Estacionamiento,train,c8a7461c2147,catalogo_controlado,True,estac de plaza
cargo estacionamiento de plaza,estacionamiento de plaza,Otros,Estacionamiento,train,c8a7461c2147,catalogo_controlado,True,cargo estacionamiento de plaza
estacionamiento de plaza mensual,estacionamiento de plaza,Otros,Estacionamiento,train,c8a7461c2147,catalogo_controlado,True,estacionamiento de plaza mensual
estacionamiento de plaza 2025,estacionamiento de plaza,Otros,Estacionamiento,train,c8a7461c2147,catalogo_controlado,True,estacionamiento de plaza 2025
Diezmo,Diezmo,Otros,Donaciones,train,d579a9343b4e,transactions,False,diezmo
cargo diezmo,Diezmo,Otros,Donaciones,train,d579a9343b4e,transactions,True,cargo diezmo
diezmo mensual,Diezmo,Otros,Donaciones,train,d579a9343b4e,transactions,True,diezmo mensual
diezmo 2025,Diezmo,Otros,Donaciones,train,d579a9343b4e,transactions,True,diezmo 2025
diemo,Diezmo,Otros,Donaciones,train,d579a9343b4e,transactions,True,diemo
Caridad,Caridad,Otros,Donaciones,train,d70b66898f29,transactions,False,caridad
cargo caridad,Caridad,Otros,Donaciones,train,d70b66898f29,transactions,True,cargo caridad
caridad mensual,Caridad,Otros,Donaciones,train,d70b66898f29,transactions,True,caridad mensual
caridad 2025,Caridad,Otros,Donaciones,train,d70b66898f29,transactions,True,caridad 2025
cariad,Caridad,Otros,Donaciones,train,d70b66898f29,transactions,True,cariad
servicio de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,catalogo_controlado,False,servicio de lavanderia
serv de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,catalogo_controlado,True,serv de lavanderia
cargo servicio de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,catalogo_controlado,True,cargo servicio de lavanderia
servicio de lavandería mensual,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,catalogo_controlado,True,servicio de lavanderia mensual
servicio de lavandería 2025,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,catalogo_controlado,True,servicio de lavanderia 2025
Otro gasto,Otro gasto,Otros,Otros,train,f7e4bbb34bea,transactions,False,otro gasto
cargo otro gasto,Otro gasto,Otros,Otros,train,f7e4bbb34bea,transactions,True,cargo otro gasto
otro gasto mensual,Otro gasto,Otros,Otros,train,f7e4bbb34bea,transactions,True,otro gasto mensual
otro gasto 2025,Otro gasto,Otros,Otros,train,f7e4bbb34bea,transactions,True,otro gasto 2025
farmacia medicamentos,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,catalogo_controlado,False,farmacia medicamentos
cargo farmacia medicamentos,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,catalogo_controlado,True,cargo farmacia medicamentos
farmacia medicamentos mensual,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,catalogo_controlado,True,farmacia medicamentos mensual
farmacia medicamentos 2025,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,catalogo_controlado,True,farmacia medicamentos 2025
famacia medicamentos,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,catalogo_controlado,True,famacia medicamentos
sesión de terapia,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,catalogo_controlado,False,sesion de terapia
cargo sesión de terapia,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,catalogo_controlado,True,cargo sesion de terapia
sesión de terapia mensual,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,catalogo_controlado,True,sesion de terapia mensual
sesión de terapia 2025,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,catalogo_controlado,True,sesion de terapia 2025
sesión de trapia,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,catalogo_controlado,True,sesion de trapia
Lentes,Lentes,Salud,Óptica,train,39aec07ecfd4,transactions,False,lentes
cargo lentes,Lentes,Salud,Óptica,train,39aec07ecfd4,transactions,True,cargo lentes
lentes mensual,Lentes,Salud,Óptica,train,39aec07ecfd4,transactions,True,lentes mensual
lentes 2025,Lentes,Salud,Óptica,train,39aec07ecfd4,transactions,True,lentes 2025
lents,Lentes,Salud,Óptica,train,39aec07ecfd4,transactions,True,lents
Medicamentos,Medicamentos,Salud,Medicinas,train,47e633db4cd5,transactions,False,medicamentos
cargo medicamentos,Medicamentos,Salud,Medicinas,train,47e633db4cd5,transactions,True,cargo medicamentos
medicamentos mensual,Medicamentos,Salud,Medicinas,train,47e633db4cd5,transactions,True,medicamentos mensual
medicamentos 2025,Medicamentos,Salud,Medicinas,train,47e633db4cd5,transactions,True,medicamentos 2025
medicaentos,Medicamentos,Salud,Medicinas,train,47e633db4cd5,transactions,True,medicaentos
Laboratorio,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,transactions,False,laboratorio
cargo laboratorio,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,transactions,True,cargo laboratorio
laboratorio mensual,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,transactions,True,laboratorio mensual
laboratorio 2025,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,transactions,True,laboratorio 2025
laboratoio,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,transactions,True,laboratoio
Estudios médicos,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,transactions,False,estudios medicos
cargo estudios médicos,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,transactions,True,cargo estudios medicos
estudios médicos mensual,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,transactions,True,estudios medicos mensual
estudios médicos 2025,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,transactions,True,estudios medicos 2025
esudios médicos,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,transactions,True,esudios medicos
limpieza dental,limpieza dental,Salud,Dentista,train,861ded761d8d,catalogo_controlado,False,limpieza dental
cargo limpieza dental,limpieza dental,Salud,Dentista,train,861ded761d8d,catalogo_controlado,True,cargo limpieza dental
limpieza dental mensual,limpieza dental,Salud,Dentista,train,861ded761d8d,catalogo_controlado,True,limpieza dental mensual
limpieza dental 2025,limpieza dental,Salud,Dentista,train,861ded761d8d,catalogo_controlado,True,limpieza dental 2025
limpiza dental,limpieza dental,Salud,Dentista,train,861ded761d8d,catalogo_controlado,True,limpiza dental
Consulta con terapeuta,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,transactions,False,consulta con terapeuta
cargo consulta con terapeuta,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,transactions,True,cargo consulta con terapeuta
consulta con terapeuta mensual,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,transactions,True,consulta con terapeuta mensual
consulta con terapeuta 2025,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,transactions,True,consulta con terapeuta 2025
consula con terapeuta,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,transactions,True,consula con terapeuta
Actividad física,Actividad física,Salud,Ejercicio,train,98df711b78f4,transactions,False,actividad fisica
cargo actividad física,Actividad física,Salud,Ejercicio,train,98df711b78f4,transactions,True,cargo actividad fisica
actividad física mensual,Actividad física,Salud,Ejercicio,train,98df711b78f4,transactions,True,actividad fisica mensual
