descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,texto_normalizado,es_aumentada
cargo donación,Donación,Otros,Donaciones,train,1e746161db90,cargo donacion,True
donación mensual,Donación,Otros,Donaciones,train,1e746161db90,donacion mensual,True
pago varios,pago varios,Otros,Otros,train,67a821ebbb13,pago varios,False
pg varios,pago varios,Otros,Otros,train,67a821ebbb13,pg varios,True
cargo pago varios,pago varios,Otros,Otros,train,67a821ebbb13,cargo pago varios,True
pago varios mensual,pago varios,Otros,Otros,train,67a821ebbb13,pago varios mensual,True
Gasto general,Gasto general,Otros,Otros,train,b43c5666a750,gasto general,False
cargo gasto general,Gasto general,Otros,Otros,train,b43c5666a750,cargo gasto general,True
gasto general mensual,Gasto general,Otros,Otros,train,b43c5666a750,gasto general mensual,True
Estacionamiento,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,estacionamiento,False
estac,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,estac,True
cargo estacionamiento,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,cargo estacionamiento,True
estacionamiento mensual,Estacionamiento,Otros,Estacionamiento,train,b50e4327d509,estacionamiento mensual,True
Tintorería,Tintorería,Otros,Tintorería,train,bca82f4aa39a,tintoreria,False
cargo tintorería,Tintorería,Otros,Tintorería,train,bca82f4aa39a,cargo tintoreria,True
tintorería mensual,Tintorería,Otros,Tintorería,train,bca82f4aa39a,tintoreria mensual,True
Lavandería,Lavandería,Otros,Lavandería,train,c04be1f1b44e,lavanderia,False
cargo lavandería,Lavandería,Otros,Lavandería,train,c04be1f1b44e,cargo lavanderia,True
lavandería mensual,Lavandería,Otros,Lavandería,train,c04be1f1b44e,lavanderia mensual,True
estacionamiento de plaza,estacionamiento de plaza,Otros,Estacionamiento,validation,c8a7461c2147,estacionamiento de plaza,False
Diezmo,Diezmo,Otros,Donaciones,train,d579a9343b4e,diezmo,False
cargo diezmo,Diezmo,Otros,Donaciones,train,d579a9343b4e,cargo diezmo,True
diezmo mensual,Diezmo,Otros,Donaciones,train,d579a9343b4e,diezmo mensual,True
Caridad,Caridad,Otros,Donaciones,train,d70b66898f29,caridad,False
cargo caridad,Caridad,Otros,Donaciones,train,d70b66898f29,cargo caridad,True
caridad mensual,Caridad,Otros,Donaciones,train,d70b66898f29,caridad mensual,True
servicio de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,servicio de lavanderia,False
serv de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,serv de lavanderia,True
cargo servicio de lavandería,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,cargo servicio de lavanderia,True
servicio de lavandería mensual,servicio de lavandería,Otros,Lavandería,train,f0c61e6ad15e,servicio de lavanderia mensual,True
Otro gasto,Otro gasto,Otros,Otros,train,f7e4bbb34bea,otro gasto,False
cargo otro gasto,Otro gasto,Otros,Otros,train,f7e4bbb34bea,cargo otro gasto,True
otro gasto mensual,Otro gasto,Otros,Otros,train,f7e4bbb34bea,otro gasto mensual,True
farmacia medicamentos,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,farmacia medicamentos,False
cargo farmacia medicamentos,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,cargo farmacia medicamentos,True
farmacia medicamentos mensual,farmacia medicamentos,Salud,Medicinas,train,00a57ec94696,farmacia medicamentos mensual,True
sesión de terapia,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,sesion de terapia,False
cargo sesión de terapia,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,cargo sesion de terapia,True
sesión de terapia mensual,sesión de terapia,Salud,Terapeuta,train,02b9a306b6c5,sesion de terapia mensual,True
Lentes,Lentes,Salud,Óptica,train,39aec07ecfd4,lentes,False
cargo lentes,Lentes,Salud,Óptica,train,39aec07ecfd4,cargo lentes,True
lentes mensual,Lentes,Salud,Óptica,train,39aec07ecfd4,lentes mensual,True
Medicamentos,Medicamentos,Salud,Medicinas,train,47e633db4cd5,medicamentos,False
cargo medicamentos,Medicamentos,Salud,Medicinas,train,47e633db4cd5,cargo medicamentos,True
medicamentos mensual,Medicamentos,Salud,Medicinas,train,47e633db4cd5,medicamentos mensual,True
Laboratorio,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,laboratorio,False
cargo laboratorio,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,cargo laboratorio,True
laboratorio mensual,Laboratorio,Salud,Laboratorios,train,5340b36a6f04,laboratorio mensual,True
Estudios médicos,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,estudios medicos,False
cargo estudios médicos,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,cargo estudios medicos,True
estudios médicos mensual,Estudios médicos,Salud,Laboratorios,train,7603e75ff87b,estudios medicos mensual,True
limpieza dental,limpieza dental,Salud,Dentista,validation,861ded761d8d,limpieza dental,False
Consulta con terapeuta,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,consulta con terapeuta,False
cargo consulta con terapeuta,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,cargo consulta con terapeuta,True
consulta con terapeuta mensual,Consulta con terapeuta,Salud,Terapeuta,train,8fef4bba3c6d,consulta con terapeuta mensual,True
Actividad física,Actividad física,Salud,Ejercicio,train,98df711b78f4,actividad fisica,False
cargo actividad física,Actividad física,Salud,Ejercicio,train,98df711b78f4,cargo actividad fisica,True
actividad física mensual,Actividad física,Salud,Ejercicio,train,98df711b78f4,actividad fisica mensual,True
Veterinario,Veterinario,Salud,Veterinario,test,adbf3c60a9b8,veterinario,False
Consulta dental,Consulta dental,Salud,Dentista,train,b29386dd4b89,consulta dental,False
cargo consulta dental,Consulta dental,Salud,Dentista,train,b29386dd4b89,cargo consulta dental,True
consulta dental mensual,Consulta dental,Salud,Dentista,train,b29386dd4b89,consulta dental mensual,True
Dentista,Dentista,Salud,Dentista,validation,b592017cd0fd,dentista,False
Consulta con nutriólogo,Consulta con nutriólogo,Salud,Nutriólogo,train,cc395c1298e7,consulta con nutriologo,False
cargo consulta con nutriólogo,Consulta con nutriólogo,Salud,Nutriólogo,train,cc395c1298e7,cargo consulta con nutriologo,True
consulta con nutriólogo mensual,Consulta con nutriólogo,Salud,Nutriólogo,train,cc395c1298e7,consulta con nutriologo mensual,True
Hospital,Hospital,Salud,Hospital,train,d3169380b064,hospital,False
cargo hospital,Hospital,Salud,Hospital,train,d3169380b064,cargo hospital,True
hospital mensual,Hospital,Salud,Hospital,train,d3169380b064,hospital mensual,True
Consulta veterinaria,Consulta veterinaria,Salud,Veterinario,test,e500c37e8f7d,consulta veterinaria,False
consulta médica,consulta médica,Salud,Hospital,test,fa954ecfce1d,consulta medica,False
Pago de internet,Pago de internet,Servicios,Internet,train,212a299d6b80,pago de internet,False
pg de internet,Pago de internet,Servicios,Internet,train,212a299d6b80,pg de internet,True
cargo pago de internet,Pago de internet,Servicios,Internet,train,212a299d6b80,cargo pago de internet,True
pago de internet mensual,Pago de internet,Servicios,Internet,train,212a299d6b80,pago de internet mensual,True
recibo cfe,recibo cfe,Servicios,Electricidad,train,333096522470,recibo cfe,False
cargo recibo cfe,recibo cfe,Servicios,Electricidad,train,333096522470,cargo recibo cfe,True
recibo cfe mensual,recibo cfe,Servicios,Electricidad,train,333096522470,recibo cfe mensual,True
Pago de gas,Pago de gas,Servicios,Gas,train,33eac11627fc,pago de gas,False
pg de gas,Pago de gas,Servicios,Gas,train,33eac11627fc,pg de gas,True
cargo pago de gas,Pago de gas,Servicios,Gas,train,33eac11627fc,cargo pago de gas,True
pago de gas mensual,Pago de gas,Servicios,Gas,train,33eac11627fc,pago de gas mensual,True
internet de casa,internet de casa,Servicios,Internet,test,352215768194,internet de casa,False
plan de celular,plan de celular,Servicios,Teléfono,test,527a64f1ac50,plan de celular,False
Recibo de electricidad,Recibo de electricidad,Servicios,Electricidad,train,586d9a83f35a,recibo de electricidad,False
cargo recibo de electricidad,Recibo de electricidad,Servicios,Electricidad,train,586d9a83f35a,cargo recibo de electricidad,True
recibo de electricidad mensual,Recibo de electricidad,Servicios,Electricidad,train,586d9a83f35a,recibo de electricidad mensual,True
Recibo de agua,Recibo de agua,Servicios,Agua,train,5dcca651ed05,recibo de agua,False
cargo recibo de agua,Recibo de agua,Servicios,Agua,train,5dcca651ed05,cargo recibo de agua,True
recibo de agua mensual,Recibo de agua,Servicios,Agua,train,5dcca651ed05,recibo de agua mensual,True
Pago de luz,Pago de luz,Servicios,Electricidad,train,7d0cb5a909ea,pago de luz,False
pg de luz,Pago de luz,Servicios,Electricidad,train,7d0cb5a909ea,pg de luz,True
cargo pago de luz,Pago de luz,Servicios,Electricidad,train,7d0cb5a909ea,cargo pago de luz,True
pago de luz mensual,Pago de luz,Servicios,Electricidad,train,7d0cb5a909ea,pago de luz mensual,True
relleno tanque de gas,relleno tanque de gas,Servicios,Gas,train,c21de712e5cb,relleno tanque de gas,False
cargo relleno tanque de gas,relleno tanque de gas,Servicios,Gas,train,c21de712e5cb,cargo relleno tanque de gas,True
relleno tanque de gas mensual,relleno tanque de gas,Servicios,Gas,train,c21de712e5cb,relleno tanque de gas mensual,True
Gasolina,Gasolina,Transporte,Combustible,validation,16c8ddf70d3c,gasolina,False
Verificación vehicular,Verificación vehicular,Transporte,Verificación vehicular,train,1ebbb7408964,verificacion vehicular,False
cargo verificación vehicular,Verificación vehicular,Transporte,Verificación vehicular,train,1ebbb7408964,cargo verificacion vehicular,True
verificación vehicular mensual,Verificación vehicular,Transporte,Verificación vehicular,train,1ebbb7408964,verificacion vehicular mensual,True
Avión,Avión,Transporte,Avión,test,5956762a6969,avion,False
Viaje en Uber,Viaje en Uber,Transporte,Uber,train,6785c402330d,viaje en uber,False
cargo viaje en uber,Viaje en Uber,Transporte,Uber,train,6785c402330d,cargo viaje en uber,True
viaje en uber mensual,Viaje en Uber,Transporte,Uber,train,6785c402330d,viaje en uber mensual,True
Uber,Uber,Transporte,Uber,validation,6b7c1f74da8e,uber,False
Taxi,Taxi,Transporte,Taxi,train,7314220d2581,taxi,False
cargo taxi,Taxi,Transporte,Taxi,train,7314220d2581,cargo taxi,True
taxi mensual,Taxi,Transporte,Taxi,train,7314220d2581,taxi mensual,True
Servicio de taxi,Servicio de taxi,Transporte,Taxi,train,7ba2068ad427,servicio de taxi,False
serv de taxi,Servicio de taxi,Transporte,Taxi,train,7ba2068ad427,serv de taxi,True
cargo servicio de taxi,Servicio de taxi,Transporte,Taxi,train,7ba2068ad427,cargo servicio de taxi,True
servicio de taxi mensual,Servicio de taxi,Transporte,Taxi,train,7ba2068ad427,servicio de taxi mensual,True
Autobús,Autobús,Transporte,Autobús,validation,83feb4da3960,autobus,False
boleto de avión,boleto de avión,Transporte,Avión,validation,962101678b12,boleto de avion,False
Transporte público,Transporte público,Transporte,Autobús,test,a207c69630f6,transporte publico,False
Servicio vehicular,Servicio vehicular,Transporte,Servicio vehicular,test,ae243ef2840b,servicio vehicular,False
Tenencia vehicular,Tenencia vehicular,Transporte,Tenencia vehicular,validation,cb8724468d03,tenencia vehicular,False
taxi al trabajo,taxi al trabajo,Transporte,Taxi,test,ceedfdf57fe7,taxi al trabajo,False
Mantenimiento de vivienda,Mantenimiento de vivienda,Vivienda,Mantenimiento,train,079de09a8aec,mantenimiento de vivienda,False
mant de vivienda,Mantenimiento de vivienda,Vivienda,Mantenimiento,train,079de09a8aec,mant de vivienda,True
cargo mantenimiento de vivienda,Mantenimiento de vivienda,Vivienda,Mantenimiento,train,079de09a8aec,cargo mantenimiento de vivienda,True
mantenimiento de vivienda mensual,Mantenimiento de vivienda,Vivienda,Mantenimiento,train,079de09a8aec,mantenimiento de vivienda mensual,True
Electrodomésticos,Electrodomésticos,Vivienda,Electrodomésticos,train,0942b7ae9a8f,electrodomesticos,False
cargo electrodomésticos,Electrodomésticos,Vivienda,Electrodomésticos,train,0942b7ae9a8f,cargo electrodomesticos,True
electrodomésticos mensual,Electrodomésticos,Vivienda,Electrodomésticos,train,0942b7ae9a8f,electrodomesticos mensual,True
electrodoméstico para casa,electrodoméstico para casa,Vivienda,Electrodomésticos,train,16e43ffaaf5b,electrodomestico para casa,False
cargo electrodoméstico para casa,electrodoméstico para casa,Vivienda,Electrodomésticos,train,16e43ffaaf5b,cargo electrodomestico para casa,True
electrodoméstico para casa mensual,electrodoméstico para casa,Vivienda,Electrodomésticos,train,16e43ffaaf5b,electrodomestico para casa mensual,True
Impuesto predial,Impuesto predial,Vivienda,Predial,train,2a03409c54d0,impuesto predial,False
cargo impuesto predial,Impuesto predial,Vivienda,Predial,train,2a03409c54d0,cargo impuesto predial,True
impuesto predial mensual,Impuesto predial,Vivienda,Predial,train,2a03409c54d0,impuesto predial mensual,True
renta del departamento,renta del departamento,Vivienda,Renta,test,38f1c61c28cb,renta del departamento,False
Renta mensual,Renta mensual,Vivienda,Renta,train,7253d65a36b7,renta mensual,False
renta mens,Renta mensual,Vivienda,Renta,train,7253d65a36b7,renta mens,True
cargo renta mensual,Renta mensual,Vivienda,Renta,train,7253d65a36b7,cargo renta mensual,True
renta mensual mensual,Renta mensual,Vivienda,Renta,train,7253d65a36b7,renta mensual mensual,True
Pago de renta,Pago de renta,Vivienda,Renta,train,884520a8543f,pago de renta,False
pg de renta,Pago de renta,Vivienda,Renta,train,884520a8543f,pg de renta,True
cargo pago de renta,Pago de renta,Vivienda,Renta,train,884520a8543f,cargo pago de renta,True
pago de renta mensual,Pago de renta,Vivienda,Renta,train,884520a8543f,pago de renta mensual,True
Apoyo para vivienda,Apoyo para vivienda,Vivienda,Mantenimiento,test,9493d912bb4b,apoyo para vivienda,False
Muebles,Muebles,Vivienda,Muebles,validation,c6803d1c43bc,muebles,False
Pago de hipoteca,Pago de hipoteca,Vivienda,Hipoteca,train,ebca6a37b918,pago de hipoteca,False
pg de hipoteca,Pago de hipoteca,Vivienda,Hipoteca,train,ebca6a37b918,pg de hipoteca,True
cargo pago de hipoteca,Pago de hipoteca,Vivienda,Hipoteca,train,ebca6a37b918,cargo pago de hipoteca,True
pago de hipoteca mensual,Pago de hipoteca,Vivienda,Hipoteca,train,ebca6a37b918,pago de hipoteca mensual,True
Hamburguesa,Hamburguesa,Alimentación,Comida rápida,train,2cad5a2e0142,hamburguesa,False
cargo hamburguesa,Hamburguesa,Alimentación,Comida rápida,train,2cad5a2e0142,cargo hamburguesa,True
hamburguesa mensual,Hamburguesa,Alimentación,Comida rápida,train,2cad5a2e0142,hamburguesa mensual,True
abarrotes de la esquina,abarrotes de la esquina,Alimentación,Tiendas,train,474729656867,abarrotes de la esquina,False
cargo abarrotes de la esquina,abarrotes de la esquina,Alimentación,Tiendas,train,474729656867,cargo abarrotes de la esquina,True
abarrotes de la esquina mensual,abarrotes de la esquina,Alimentación,Tiendas,train,474729656867,abarrotes de la esquina mensual,True
cena en restaurante,cena en restaurante,Alimentación,Restaurante,validation,e7d5521a26eb,cena en restaurante,False
accesorios para mascota,accesorios para mascota,Compras,Mascotas,train,54fc25fb82dd,accesorios para mascota,False
cargo accesorios para mascota,accesorios para mascota,Compras,Mascotas,train,54fc25fb82dd,cargo accesorios para mascota,True
accesorios para mascota mensual,accesorios para mascota,Compras,Mascotas,train,54fc25fb82dd,accesorios para mascota mensual,True
Compra de short,Compra de short,Compras,Ropa,train,6bbe0d06a724,compra de short,False
comp de short,Compra de short,Compras,Ropa,train,6bbe0d06a724,comp de short,True
cargo compra de short,Compra de short,Compras,Ropa,train,6bbe0d06a724,cargo compra de short,True
compra de short mensual,Compra de short,Compras,Ropa,train,6bbe0d06a724,compra de short mensual,True
audífonos nuevos,audífonos nuevos,Compras,Electrónica,validation,7626e38f8e62,audifonos nuevos,False
pago de tarjeta de crédito,pago de tarjeta de crédito,Deudas,Pago de tarjeta,train,22100bccbc87,pago de tarjeta de credito,False
pg de tdc de cred,pago de tarjeta de crédito,Deudas,Pago de tarjeta,train,22100bccbc87,pg de tdc de cred,True
cargo pago de tarjeta de crédito,pago de tarjeta de crédito,Deudas,Pago de tarjeta,train,22100bccbc87,cargo pago de tarjeta de credito,True
pago de tarjeta de crédito mensual,pago de tarjeta de crédito,Deudas,Pago de tarjeta,train,22100bccbc87,pago de tarjeta de credito mensual,True
Pago de préstamo,Pago de préstamo,Deudas,Pago de préstamo,validation,8c42cbc32e2d,pago de prestamo,False
financiamiento del mes,financiamiento del mes,Deudas,Nuevo crédito,train,ec4f4765d636,financiamiento del mes,False
cargo financiamiento del mes,financiamiento del mes,Deudas,Nuevo crédito,train,ec4f4765d636,cargo financiamiento del mes,True
financiamiento del mes mensual,financiamiento del mes,Deudas,Nuevo crédito,train,ec4f4765d636,financiamiento del mes mensual,True
capacitación de trabajo,capacitación de trabajo,Educación,Cursos,train,0d3ad6d27a34,capacitacion de trabajo,False
cargo capacitación de trabajo,capacitación de trabajo,Educación,Cursos,train,0d3ad6d27a34,cargo capacitacion de trabajo,True
capacitación de trabajo mensual,capacitación de trabajo,Educación,Cursos,train,0d3ad6d27a34,capacitacion de trabajo mensual,True
papelería para escuela,papelería para escuela,Educación,Papelería,train,2b90193f5105,papeleria para escuela,False
cargo papelería para escuela,papelería para escuela,Educación,Papelería,train,2b90193f5105,cargo papeleria para escuela,True
papelería para escuela mensual,papelería para escuela,Educación,Papelería,train,2b90193f5105,papeleria para escuela mensual,True
Entrada de cine,Entrada de cine,Entretenimiento,Cine,train,1b0704d08b13,entrada de cine,False
cargo entrada de cine,Entrada de cine,Entretenimiento,Cine,train,1b0704d08b13,cargo entrada de cine,True
entrada de cine mensual,Entrada de cine,Entretenimiento,Cine,train,1b0704d08b13,entrada de cine mensual,True
Videojuegos,Videojuegos,Entretenimiento,Videojuegos,train,1fb359c08650,videojuegos,False
cargo videojuegos,Videojuegos,Entretenimiento,Videojuegos,train,1fb359c08650,cargo videojuegos,True
videojuegos mensual,Videojuegos,Entretenimiento,Videojuegos,train,1fb359c08650,videojuegos mensual,True
Museo,Museo,Entretenimiento,Museos,validation,4858aa19f635,museo,False
Transferencia a inversión,Transferencia a inversión,Finanzas,Inversiones,validation,b6fd7e04c1c4,transferencia a inversion,False
Botana,Botana,Otros,Frituras,train,44c4cc19339f,botana,False
cargo botana,Botana,Otros,Frituras,train,44c4cc19339f,cargo botana,True
botana mensual,Botana,Otros,Frituras,train,44c4cc19339f,botana mensual,True
ropa en tintorería,ropa en tintorería,Otros,Tintorería,test,c4bac401f7be,ropa en tintoreria,False
lentes en óptica,lentes en óptica,Salud,Óptica,train,7ea29fea337f,lentes en optica,False
cargo lentes en óptica,lentes en óptica,Salud,Óptica,train,7ea29fea337f,cargo lentes en optica,True
lentes en óptica mensual,lentes en óptica,Salud,Óptica,train,7ea29fea337f,lentes en optica mensual,True
Gimnasio,Gimnasio,Salud,Ejercicio,validation,e8be27b4e12d,gimnasio,False
Terapia,Terapia,Salud,Terapeuta,train,eb69dedd7863,terapia,False
cargo terapia,Terapia,Salud,Terapeuta,train,eb69dedd7863,cargo terapia,True
terapia mensual,Terapia,Salud,Terapeuta,train,eb69dedd7863,terapia mensual,True
recibo del agua,recibo del agua,Servicios,Agua,train,880f7a640dda,recibo del agua,False
cargo recibo del agua,recibo del agua,Servicios,Agua,train,880f7a640dda,cargo recibo del agua,True
recibo del agua mensual,recibo del agua,Servicios,Agua,train,880f7a640dda,recibo del agua mensual,True
Pago de teléfono,Pago de teléfono,Servicios,Teléfono,train,cef3d212065c,pago de telefono,False
pg de teléfono,Pago de teléfono,Servicios,Teléfono,train,cef3d212065c,pg de telefono,True
cargo pago de teléfono,Pago de teléfono,Servicios,Teléfono,train,cef3d212065c,cargo pago de telefono,True
pago de teléfono mensual,Pago de teléfono,Servicios,Teléfono,train,cef3d212065c,pago de telefono mensual,True
gasolina del auto,gasolina del auto,Transporte,Combustible,train,2de18bbb3f70,gasolina del auto,False
cargo gasolina del auto,gasolina del auto,Transporte,Combustible,train,2de18bbb3f70,cargo gasolina del auto,True
gasolina del auto mensual,gasolina del auto,Transporte,Combustible,train,2de18bbb3f70,gasolina del auto mensual,True
mantenimiento del coche,mantenimiento del coche,Transporte,Servicio vehicular,train,d01c4a113b9d,mantenimiento del coche,False
mant del coche,mantenimiento del coche,Transporte,Servicio vehicular,train,d01c4a113b9d,mant del coche,True
cargo mantenimiento del coche,mantenimiento del coche,Transporte,Servicio vehicular,train,d01c4a113b9d,cargo mantenimiento del coche,True
mantenimiento del coche mensual,mantenimiento del coche,Transporte,Servicio vehicular,train,d01c4a113b9d,mantenimiento del coche mensual,True
uber a la oficina,uber a la oficina,Transporte,Uber,train,de07a900e330,uber a la oficina,False
cargo uber a la oficina,uber a la oficina,Transporte,Uber,train,de07a900e330,cargo uber a la oficina,True
uber a la oficina mensual,uber a la oficina,Transporte,Uber,train,de07a900e330,uber a la oficina mensual,True
reparación de la casa,reparación de la casa,Vivienda,Mantenimiento,train,5512ecbdfbc8,reparacion de la casa,False
cargo reparación de la casa,reparación de la casa,Vivienda,Mantenimiento,train,5512ecbdfbc8,cargo reparacion de la casa,True
reparación de la casa mensual,reparación de la casa,Vivienda,Mantenimiento,train,5512ecbdfbc8,reparacion de la casa mensual,True
pago predial anual,pago predial anual,Vivienda,Predial,validation,a00678dcb40b,pago predial anual,False
pago de colegiatura,pago de colegiatura,Educación,Universidad,test,fe923ea151ec,pago de colegiatura,False
mensualidad universidad,mensualidad universidad,Educación,Universidad,train,553e71f109a7,mensualidad universidad,False
mens uni,mensualidad universidad,Educación,Universidad,train,553e71f109a7,mens uni,True
cargo mensualidad universidad,mensualidad universidad,Educación,Universidad,train,553e71f109a7,cargo mensualidad universidad,True
mensualidad universidad mensual,mensualidad universidad,Educación,Universidad,train,553e71f109a7,mensualidad universidad mensual,True
inscripción universitaria,inscripción universitaria,Educación,Universidad,train,20ef41a51c2d,inscripcion universitaria,False
cargo inscripción universitaria,inscripción universitaria,Educación,Universidad,train,20ef41a51c2d,cargo inscripcion universitaria,True
inscripción universitaria mensual,inscripción universitaria,Educación,Universidad,train,20ef41a51c2d,inscripcion universitaria mensual,True
pago de semestre,pago de semestre,Educación,Universidad,train,5b3205c2c3df,pago de semestre,False
pg de semestre,pago de semestre,Educación,Universidad,train,5b3205c2c3df,pg de semestre,True
cargo pago de semestre,pago de semestre,Educación,Universidad,train,5b3205c2c3df,cargo pago de semestre,True
pago de semestre mensual,pago de semestre,Educación,Universidad,train,5b3205c2c3df,pago de semestre mensual,True
cuota escolar,cuota escolar,Educación,Universidad,train,ae44ff6dabe9,cuota escolar,False
cargo cuota escolar,cuota escolar,Educación,Universidad,train,ae44ff6dabe9,cargo cuota escolar,True
cuota escolar mensual,cuota escolar,Educación,Universidad,train,ae44ff6dabe9,cuota escolar mensual,True
curso en udemy,curso en udemy,Educación,Cursos,test,27e550c238c3,curso en udemy,False
curso en coursera,curso en coursera,Educación,Cursos,train,0ed7b6f3073c,curso en coursera,False
cargo curso en coursera,curso en coursera,Educación,Cursos,train,0ed7b6f3073c,cargo curso en coursera,True
curso en coursera mensual,curso en coursera,Educación,Cursos,train,0ed7b6f3073c,curso en coursera mensual,True
diplomado en línea,diplomado en línea,Educación,Cursos,train,378d4aa0783f,diplomado en linea,False
cargo diplomado en línea,diplomado en línea,Educación,Cursos,train,378d4aa0783f,cargo diplomado en linea,True
diplomado en línea mensual,diplomado en línea,Educación,Cursos,train,378d4aa0783f,diplomado en linea mensual,True
capacitación profesional,capacitación profesional,Educación,Cursos,train,99e8b25f7e50,capacitacion profesional,False
cargo capacitación profesional,capacitación profesional,Educación,Cursos,train,99e8b25f7e50,cargo capacitacion profesional,True
capacitación profesional mensual,capacitación profesional,Educación,Cursos,train,99e8b25f7e50,capacitacion profesional mensual,True
clase de inglés,clase de inglés,Educación,Cursos,validation,9b3805440281,clase de ingles,False
taller de programación,taller de programación,Educación,Cursos,train,6aabb9385113,taller de programacion,False
cargo taller de programación,taller de programación,Educación,Cursos,train,6aabb9385113,cargo taller de programacion,True
taller de programación mensual,taller de programación,Educación,Cursos,train,6aabb9385113,taller de programacion mensual,True
compra en papelería,compra en papelería,Educación,Papelería,test,1c769a266842,compra en papeleria,False
útiles escolares,útiles escolares,Educación,Papelería,validation,125f1d8b3265,utiles escolares,False
cuadernos y plumas,cuadernos y plumas,Educación,Papelería,train,38640d1d992e,cuadernos y plumas,False
cargo cuadernos y plumas,cuadernos y plumas,Educación,Papelería,train,38640d1d992e,cargo cuadernos y plumas,True
cuadernos y plumas mensual,cuadernos y plumas,Educación,Papelería,train,38640d1d992e,cuadernos y plumas mensual,True
libros escolares,libros escolares,Educación,Material escolar,validation,9b3b3b8264eb,libros escolares,False
material para clases,material para clases,Educación,Material escolar,train,7399867a1fec,material para clases,False
cargo material para clases,material para clases,Educación,Material escolar,train,7399867a1fec,cargo material para clases,True
material para clases mensual,material para clases,Educación,Material escolar,train,7399867a1fec,material para clases mensual,True
compra de libros de texto,compra de libros de texto,Educación,Material escolar,train,42d0f3d15daa,compra de libros de texto,False
comp de libros de texto,compra de libros de texto,Educación,Material escolar,train,42d0f3d15daa,comp de libros de texto,True
cargo compra de libros de texto,compra de libros de texto,Educación,Material escolar,train,42d0f3d15daa,cargo compra de libros de texto,True
compra de libros de texto mensual,compra de libros de texto,Educación,Material escolar,train,42d0f3d15daa,compra de libros de texto mensual,True
uniforme escolar,uniforme escolar,Educación,Material escolar,train,6b48cba807fa,uniforme escolar,False
cargo uniforme escolar,uniforme escolar,Educación,Material escolar,train,6b48cba807fa,cargo uniforme escolar,True
uniforme escolar mensual,uniforme escolar,Educación,Material escolar,train,6b48cba807fa,uniforme escolar mensual,True
pago recibo de luz,pago recibo de luz,Servicios,Electricidad,train,c34faf9cae4b,pago recibo de luz,False
pg recibo de luz,pago recibo de luz,Servicios,Electricidad,train,c34faf9cae4b,pg recibo de luz,True
cargo pago recibo de luz,pago recibo de luz,Servicios,Electricidad,train,c34faf9cae4b,cargo pago recibo de luz,True
pago recibo de luz mensual,pago recibo de luz,Servicios,Electricidad,train,c34faf9cae4b,pago recibo de luz mensual,True
servicio de electricidad,servicio de electricidad,Servicios,Electricidad,train,89d1f023a7c8,servicio de electricidad,False
serv de electricidad,servicio de electricidad,Servicios,Electricidad,train,89d1f023a7c8,serv de electricidad,True
cargo servicio de electricidad,servicio de electricidad,Servicios,Electricidad,train,89d1f023a7c8,cargo servicio de electricidad,True
servicio de electricidad mensual,servicio de electricidad,Servicios,Electricidad,train,89d1f023a7c8,servicio de electricidad mensual,True
cargo de energía eléctrica,cargo de energía eléctrica,Servicios,Electricidad,validation,2aee5730b8b2,cargo de energia electrica,False
mensualidad de internet,mensualidad de internet,Servicios,Internet,validation,7282a9dfdb69,mensualidad de internet,False
servicio wifi casa,servicio wifi casa,Servicios,Internet,train,85e8b927e45a,servicio wifi casa,False
serv wifi casa,servicio wifi casa,Servicios,Internet,train,85e8b927e45a,serv wifi casa,True
cargo servicio wifi casa,servicio wifi casa,Servicios,Internet,train,85e8b927e45a,cargo servicio wifi casa,True
servicio wifi casa mensual,servicio wifi casa,Servicios,Internet,train,85e8b927e45a,servicio wifi casa mensual,True
recibo de fibra óptica,recibo de fibra óptica,Servicios,Internet,train,5bdcc21d5a55,recibo de fibra optica,False
cargo recibo de fibra óptica,recibo de fibra óptica,Servicios,Internet,train,5bdcc21d5a55,cargo recibo de fibra optica,True
recibo de fibra óptica mensual,recibo de fibra óptica,Servicios,Internet,train,5bdcc21d5a55,recibo de fibra optica mensual,True
pago del celular,pago del celular,Servicios,Teléfono,train,ebe220a26430,pago del celular,False
pg del celular,pago del celular,Servicios,Teléfono,train,ebe220a26430,pg del celular,True
cargo pago del celular,pago del celular,Servicios,Teléfono,train,ebe220a26430,cargo pago del celular,True
